U-235(n,g) ENDFB-8.0
Energy(eV) XS(b)
2.85604 4.03227
2.86836 3.97252
2.87453 3.95468
2.88069 3.94491
2.89037 3.94576
2.90005 3.96618
2.90973 4.00600
2.91941 4.06537
2.92909 4.14479
2.93877 4.24524
2.94845 4.36826
2.95813 4.51595
2.96781 4.69118
2.97749 4.89755
2.98718 5.13964
2.99202 5.27579
2.99686 5.42304
3.00170 5.58234
3.00654 5.75459
3.01138 5.94093
3.01622 6.14242
3.02106 6.36036
3.02590 6.59598
3.03074 6.85068
3.03558 7.12588
3.04086 7.45122
3.04614 7.80442
3.05142 8.18727
3.05670 8.60129
3.06289 9.12769
3.06908 9.69931
3.07526 10.3159
3.08145 10.9749
3.08764 11.6719
3.09383 12.3991
3.10620 13.8992
3.11610 15.0725
3.12043 15.5560
3.12477 16.0106
3.12910 16.4284
3.13344 16.8020
3.13777 17.1245
3.14210 17.3894
3.14644 17.5916
3.15077 17.7268
3.15449 17.7875
3.15820 17.7962
3.16161 17.7585
3.16502 17.6777
3.16843 17.5551
3.17183 17.3926
3.17524 17.1922
3.17865 16.9568
3.18546 16.3935
3.19042 15.9193
3.19538 15.4035
3.20259 14.6020
3.20980 13.7700
3.21701 12.9365
3.22422 12.1256
3.23143 11.3551
3.23864 10.6374
3.24585 9.97974
3.25306 9.38520
3.25711 9.07861
3.26117 8.79173
3.26522 8.52410
3.26928 8.27515
3.27469 7.97091
3.28212 7.60138
3.28956 7.28394
3.29700 7.01391
3.30443 6.78692
3.31187 6.59898
3.31930 6.44670
3.32674 6.32720
3.33417 6.23813
3.33958 6.19135
3.34499 6.15911
3.35040 6.14096
3.35648 6.13702
3.36256 6.15029
3.36865 6.18072
3.37473 6.22845
3.38082 6.29383
3.38690 6.37740
3.39298 6.47996
3.39907 6.60249
3.40650 6.78133
3.41394 6.99496
3.42137 7.24713
3.42881 7.54248
3.43625 7.88690
3.44368 8.28754
3.44740 8.51165
3.45112 8.75329
3.45484 9.01392
3.45855 9.29505
3.46464 9.80436
3.47072 10.3827
3.47376 10.7010
3.47680 11.0408
3.47985 11.4037
3.48289 11.7915
3.48593 12.2062
3.48897 12.6500
3.49201 13.1251
3.49506 13.6341
3.49810 14.1797
3.50114 14.7647
3.50418 15.3922
3.50722 16.0653
3.51094 16.9554
3.51466 17.9255
3.51838 18.9824
3.52210 20.1330
3.52581 21.3841
3.52953 22.7420
3.53325 24.2128
3.53697 25.8009
3.54076 27.5461
3.54455 29.4194
3.54834 31.4204
3.55213 33.5449
3.55593 35.7871
3.55972 38.1352
3.56730 43.0816
3.57630 49.1605
3.58080 52.1600
3.58530 55.0475
3.58980 57.7527
3.59430 60.2040
3.59880 62.3316
3.60330 64.0716
3.60780 65.3703
3.61231 66.1835
3.61531 66.4423
3.61832 66.4688
3.62208 66.1748
3.62584 65.5242
3.62959 64.5322
3.63335 63.2214
3.63711 61.6210
3.64087 59.7654
3.64463 57.6929
3.64838 55.4449
3.65442 51.5656
3.66046 47.5066
3.66650 43.4185
3.66952 41.4051
3.67254 39.4301
3.67733 36.4050
3.67973 34.9502
3.68212 33.5393
3.68451 32.1737
3.68691 30.8566
