U-238(n,g) ENDFB-8.0
Energy(eV) XS(b)
10.5137 0.368390
10.5302 0.362601
10.5466 0.357611
10.5795 0.349359
10.6123 0.342729
10.6452 0.337218
10.7109 0.328366
10.7767 0.321398
10.8424 0.315782
10.9081 0.311321
10.9739 0.308117
11.0067 0.307138
11.0396 0.306796
11.0725 0.307518
11.0889 0.308567
11.1053 0.310425
11.1202 0.313288
11.1277 0.315386
11.1351 0.318127
11.1426 0.321736
11.1500 0.326495
11.1574 0.332796
11.1649 0.341101
11.1686 0.346203
11.1723 0.352026
11.1761 0.358694
11.1798 0.366271
11.1835 0.374902
11.1872 0.384649
11.1910 0.395648
11.1947 0.408013
11.1984 0.421898
11.2021 0.437339
11.2058 0.454477
11.2096 0.473408
11.2133 0.494275
11.2170 0.517032
11.2207 0.541780
11.2245 0.568541
11.2291 0.604646
11.2337 0.643687
11.2383 0.685569
11.2429 0.730030
11.2476 0.776811
11.2522 0.825247
11.2614 0.925050
11.2707 1.02414
11.2753 1.07131
11.2799 1.11579
11.2856 1.16530
11.2912 1.20794
11.2969 1.24253
11.3025 1.26782
11.3071 1.28092
11.3116 1.28717
11.3137 1.28770
11.3183 1.28366
11.3229 1.27258
11.3280 1.25254
11.3330 1.22485
11.3385 1.18683
11.3440 1.14172
11.3478 1.10757
11.3515 1.07118
11.3590 0.993605
11.3740 0.831084
11.3815 0.752528
11.3852 0.715038
11.3890 0.679149
11.3940 0.633821
11.3990 0.591809
11.4040 0.553307
11.4090 0.518392
11.4140 0.487045
11.4190 0.459166
11.4240 0.434586
11.4290 0.413131
11.4340 0.394470
11.4390 0.378381
11.4440 0.364594
11.4490 0.352861
11.4540 0.342878
11.4590 0.334430
11.4640 0.327295
11.4690 0.321286
11.4750 0.315285
11.4810 0.310376
11.4870 0.306342
11.4929 0.303008
11.5049 0.297871
11.5169 0.294142
11.5339 0.290307
11.5509 0.287486
11.5849 0.283458
11.6189 0.280592
11.6529 0.278372
11.7209 0.275062
11.7888 0.272595
11.9248 0.268934
12.0607 0.266416
12.1967 0.264686
12.3326 0.263617
12.6045 0.263110
12.7644 0.263761
12.9244 0.264961
13.0843 0.266782
13.2442 0.269291
13.4042 0.272296
13.5641 0.275990
13.8840 0.285191
14.0439 0.290859
14.2038 0.297149
14.3638 0.304168
14.5237 0.312080
14.6836 0.320700
14.8436 0.330318
15.0035 0.340758
15.1634 0.352420
15.3393 0.366633
15.5153 0.382451
15.6912 0.400074
15.8671 0.419739
16.0431 0.441723
16.2190 0.466367
16.3949 0.494072
16.5708 0.525325
16.7228 0.555634
16.8747 0.589503
17.0267 0.627489
17.1026 0.648231
17.1786 0.670266
17.2546 0.693710
17.3305 0.718670
17.4065 0.745295
17.4825 0.773707
17.5584 0.804005
17.6344 0.836334
17.7104 0.871131
17.7863 0.908586
17.8743 0.955559
17.9623 1.00682
18.0502 1.06293
18.1382 1.12450
18.2262 1.19229
18.3141 1.26715
18.4021 1.35010
18.4900 1.44238
18.5700 1.53559
18.6500 1.63903
18.7299 1.75426
18.7699 1.81687
18.8099 1.88316
18.8499 1.95347
18.8899 2.02808
18.9299 2.10741
18.9698 2.19184
19.0098 2.28185
19.0498 2.37790
19.0898 2.48058
19.1298 2.59064
19.1678 2.70298
19.2057 2.82403
19.2437 2.95561
19.2817 3.10172
19.3007 3.18358
19.3197 3.27528
19.3387 3.38260
19.3482 3.44475
19.3577 3.51422
19.3672 3.59271
19.3767 3.68164
